IDX_TagID,IDX_TagGUID,IDX_TagGroupID,IDX_TagName,IDX_Description,IDX_ChangeType,IDX_ChangeTimestamp,IDX_SourceUniqueTagID,IDX_TargetUniqueTagID,IDX_Maximum,IDX_Minimum,IDX_TimeDeadband,IDX_ValueDeadband,IDX_ValueAliasTemplate,IDX_AutoStepTimeout,IDX_Unit,IDX_EngUnits,IDX_TypeName,IDX_DataTypeID,IDX_InitialValue,IDX_InitialQuality,IDX_Stepped,IDX_HistoryMode,IDX_Compression,IDX_ValueExpiry,IDX_TagType,IDX_DataSize,IDX_RemoteWriteInterval,IDX_RemoteReadInterval,IDX_SourceType,etl_deleted
5776,b7cdf322-3137-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-7_COARSE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
42206,c477b1ea-9161-11eb-b809-005056a3accd,1,GSI-SOME-APET-COMMS-INTERFACE.OPC-CLIENT-STATS.OPC-SERVER-CONNECTIONS,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40555,e002a90a-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-8_COARSE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5727,da335ee2-3059-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-3_COARSE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5795,7735986f-3139-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-8_FINE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40639,e002a942-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-1_COARSE-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
42186,f1a3c0fa-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-4_COARSE.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
40584,e002a90d-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-1.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5739,f2473ba5-3064-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-4_COARSE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5798,56eb4115-ae1e-11e9-82e0-00155d1d4e0a,1,MATRIX_JIG-MOD-8.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
42201,f1a3bf4b-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-7.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
5664,e0d79ff3-5dd6-11e5-80e0-005056941628,1,MATRIX.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
42178,f7a16fb9-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-2_COARSE.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
5765,5d432913-3114-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-6_MEDIUM-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5783,b7c5bc3e-3137-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-7_FINE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
5745,f23dcf21-3064-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-4_MEDIUM.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40570,e002a8fb-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-3_COARSE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5750,4267c439-ae1e-11e9-82e0-00155d1d4e0a,1,MATRIX_JIG-MOD-4.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
46231,8946c8d3-f9bb-11eb-b836-005056a01807,1,GSI-IDX_CPM.OPC-CLIENT-STATS.WRITE-TIMEOUT-PERC,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5715,5c6919cf-3059-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-2_COARSE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
